,E_SCALED,E_SCALED_ERR,FE_H,FE_H_ERR,ALPHA_FE,ALPHA_FE_ERR,AL_FE,AL_FE_ERR,CE_FE,CE_FE_ERR,MG_MN,MG_MN_ERR
1050,-1.6068781485570767,0.016572809630627745,-0.56836,0.00951898,-0.26286495,0.011745031,0.20458096,0.021372007,-0.15934002,0.037335817,0.48362103,0.022505324
1051,-1.7651461560309933,0.006730961677787127,-1.1192,0.010008853,-0.898435,0.015045161,-0.16361904,0.022981614,-0.04016006,0.06479592,0.531291,0.03332375
1052,-1.6855259104949685,0.010063926927225547,-0.70143,0.013147196,-0.43112502,0.01714239,0.32713103,0.03406093,-0.14862996,0.08050766,0.590081,0.035543296
1053,-1.4933483947979498,0.039051613566057346,-1.3003,0.010312303,-1.078085,0.016811835,-0.16131902,0.023914896,-0.40706003,0.07801706,0.740901,0.03833579
1054,-1.4843092987709812,0.03509959379580527,-0.83235,0.01384868,-0.674425,0.019603724,-0.17575896,0.037629396,-0.32961,0.11827905,0.43420994,0.043198768
1055,-1.4287280477132538,0.05961382705233162,-0.94696,0.013285259,-0.639605,0.018647676,0.24471092,0.033793457,-0.012490034,0.08861495,0.551401,0.04080745
1056,-1.598237484279457,0.012594481272619596,-0.72682,0.013793262,-0.569595,0.018622141,0.06080103,0.037237316,-0.24954003,0.10393082,0.388821,0.039812423
1057,-1.579045135739902,0.016991755950865918,-0.91928,0.010017204,-0.768045,0.01588372,-0.07582897,0.026534243,-0.28178006,0.12679319,0.332282,0.03575509
1058,-1.5717845966247754,0.02360375840738285,-1.47,0.011827242,-1.258445,0.018152377,-0.27241898,0.025255648,-0.19736004,0.051282164,0.528391,0.041152995
1059,-1.2599341715290944,0.09749366259986571,-1.2548,0.011745283,-1.073355,0.018095922,-0.2760191,0.027533464,-0.28936005,0.075149566,0.48139906,0.040981416
1060,-1.6481202186053026,0.02112978441946747,-0.58814,0.012692657,-0.383035,0.016318737,0.16758099,0.03310827,-0.041809976,0.07947706,0.33128104,0.033306006
1061,-1.7397872404250851,0.007746559085472691,-1.3579,0.010650986,-1.084545,0.017005797,-0.044219017,0.024025258,-0.26036,0.067644365,0.7412211,0.038676083
1062,-1.695877391855662,0.0063549780707720495,-1.1161,0.0102575915,-0.912115,0.014997823,-0.15631914,0.023167925,-0.13676,0.05770585,0.479851,0.03289818
1063,-1.6788219150816253,0.007650460488771642,-1.2432,0.014799379,-1.0256749,0.02411924,-0.15121913,0.039756127,0.29562992,0.14750801,0.7545711,0.056554846
1064,-1.676527296268637,0.007940463508639077,-1.3493,0.011249276,-1.1305051,0.016966602,-0.23081899,0.02450063,-0.22166002,0.0534632,0.45987105,0.038034495
1065,-1.6840977958243037,0.011750531868653488,-0.58538,0.014290969,-0.25523502,0.01841489,0.366831,0.039496176,0.13471001,0.10242165,0.56268096,0.037983596
1066,-1.682300804026043,0.011073042690685833,-1.3602,0.013822133,-1.0973351,0.022116339,-0.22131896,0.03402867,-0.52725995,0.09977312,0.60613096,0.051369533
1067,-1.8120503632043183,0.005793483664651867,-0.89871,0.0084196795,-0.655505,0.01323566,0.257331,0.021092162,-0.52225006,0.09762371,0.49892092,0.029330712
1068,-1.5561073532298553,0.025246284344531304,-1.433,0.017123088,-1.191615,0.027565526,-0.2344191,0.04418996,-0.39276004,0.12518536,0.41196096,0.06530192
1069,-1.436649646873097,0.038418074320796296,-1.2625,0.009894275,-1.0210351,0.016369576,-0.15941894,0.023220338,-0.13345993,0.083426744,0.53572106,0.037331235
1070,-1.4988349485560692,0.017453056113657658,-1.3812,0.011256932,-1.1462749,0.01732158,-0.2825191,0.0245988,-0.34626007,0.056194182,0.479841,0.039125472
1071,-1.8056189228992583,0.006059039231447241,-1.6196,0.0109372735,-1.3989251,0.020048777,-0.28731894,0.024908377,0.064940095,0.087671824,0.44749105,0.047020417
1072,-1.404464941826039,0.0577795131625951,-1.5889,0.012756987,-1.304215,0.022559315,-0.19611907,0.030142745,-0.52786005,0.098251246,0.522401,0.053284656
1073,-1.6358547376899735,0.014437782243233378,-0.657,0.008484688,-0.470745,0.011811048,0.067000985,0.02069419,-0.08770001,0.06952415,0.417711,0.024824638
1074,-1.7686093238229386,0.008385385830337036,-0.55753,0.011414424,-0.264835,0.015769538,0.29978096,0.032054577,-0.106540024,0.12527221,0.48478103,0.033680554
1075,-1.71053883780073,0.014989825033300876,-1.175,0.016323585,-0.94346493,0.024090694,-0.08941913,0.042817544,-0.38436007,0.11374977,0.68061095,0.05502858
1076,-1.710864607917294,0.029454338151985577,-0.32691,0.011845635,-0.20852,0.013947116,0.050380975,0.029281814,-0.10855001,0.048376847,0.188578,0.025368536
1077,-1.3889308642689115,0.036959996696257,-0.67949,0.012685378,-0.52915496,0.018175498,0.10936093,0.03642868,-0.5582701,0.14986952,0.37285805,0.039971743
1078,-1.5258842170495446,0.017201750203626288,-1.0586,0.009755995,-0.87825495,0.017514264,-0.23141909,0.024978848,0.14010996,0.11890238,0.75943106,0.03774882
1079,-1.6791743085765407,0.006238174811946956,-0.57282,0.00841821,-0.25770503,0.011325385,0.330561,0.020450916,-0.15928,0.06337282,0.51578104,0.023263574
1080,-1.5863399261303321,0.027166010069435,-0.7242,0.00927281,-0.621707,0.01246701,-0.26913905,0.02154909,-0.13573003,0.053550586,0.295852,0.025814358
1081,-1.322051495407499,0.06380222912118653,-1.5186,0.011463875,-1.261545,0.018702598,-0.30951905,0.025093706,-0.32946002,0.06270681,0.484761,0.043083142
